SCHOOL_NAME,LEADERS_RATING
"Sidney Sawyer Elementary School","Weak"
"Simon Guggenheim Elementary School","Weak"
"Sir Miles Davis Magnet Elementary Academy","Weak"
"Skinner North","Weak"
"Socorro Sandoval Elementary School","Weak"
"Songhai Elementary Learning Institute","Weak"
"South Loop Elementary School","Weak"
"South Shore Fine Arts Academy","Weak"
"Southside Occupational Academy High School","Weak"
"Spencer Technology Academy","Weak"
"Spry Community Links High School","Weak"
"Stephen Decatur Classical Elementary School","Weak"
"Stephen F Gale Elementary Community Academy","Weak"
"Stephen K Hayt Elementary School","Weak"
"Stephen T Mather High School","Weak"
"Stone Elementary Scholastic Academy","Weak"
"Suder Montessori Magnet Elementary School","Weak"
"Talman Elementary School","Weak"
"Tarkington School of Excellence Elementary School","Weak"
"TEAM Englewood Community Academy High School","Weak"
"Telpochcalli Elementary School","Weak"
"Theodore Herzl Elementary School","Weak"
"Theodore Roosevelt High School","Weak"
"Theophilus Schmid Elementary School","Weak"
"Thomas A Edison Regional Gifted Center Elementary School","Weak"
"Thomas A Hendricks Elementary Community Academy","Weak"
"Thomas Chalmers Specialty Elementary School","Weak"
"Thomas Drummond Elementary School","Weak"
"Thomas Hoyne Elementary School","Weak"
"Thomas J Higgins Elementary Community Academy","Weak"
"Thomas J Waters Elementary School","Weak"
"Thomas Kelly High School","Weak"
"Thurgood Marshall Middle School","Weak"
"Turner-Drew Elementary Language Academy","Weak"
"Uplift Community High School","Weak"
"Velma F Thomas Early Childhood Center","Weak"
"Victor Herbert Elementary School","Weak"
"Virgil Grissom Elementary School","Weak"
"VOISE Academy High School","Weak"
"Walt Disney Magnet Elementary School","Weak"
"Walter L Newberry Math & Science Academy Elementary School","Weak"
"Walter Payton College Preparatory High School","Weak"
"Walter Q Gresham Elementary School","Weak"
"Walter Reed Elementary School","Weak"
"Walter S Christopher Elementary School","Weak"
"Washington D Smyser Elementary School","Weak"
"Washington Irving Elementary School","Weak"
"Wells Community Academy High School","Weak"
"Wendell E Green Elementary School","Weak"
"Wendell Phillips Academy High School","Weak"
"Wendell Smith Elementary School","Weak"
"West Park Elementary Academy","Weak"
"West Pullman Elementary School","Weak"
"West Ridge Elementary School","Weak"
"Whitney M Young Magnet High School","Weak"
"Wildwood Elementary School","Weak"
"Willa Cather Elementary School","Weak"
"William A Hinton Elementary School","Weak"
"William Bishop Owen Scholastic Academy Elementary School","Weak"
"William B Ogden Elementary School","Weak"
"William C Goudy Elementary School","Weak"
"William C Reavis Math & Science Specialty Elementary School","Weak"
"William E B Dubois Elementary School","Weak"
"William E Dever Elementary School","Weak"
"William F Finkl Elementary School","Weak"
"William G Hibbard Elementary School","Weak"
"William H Brown Elementary School","Weak"
"William H King Elementary School","Weak"
"William Howard Taft High School","Weak"
"William H Prescott Elementary School","Weak"
"William H Ray Elementary School","Weak"
"William H Ryder Math & Science Specialty Elementary School","Weak"
"William H Seward Communication Arts Academy Elementary School","Weak"
"William J Bogan High School","Weak"
"William J & Charles H Mayo Elementary School","Weak"
"William J Onahan Elementary School","Weak"
"William Jones College Preparatory High School","Weak"
"William K New Sullivan Elementary School","Weak"
"William Penn Elementary School","Weak"
"William P Gray Elementary School","Weak"
"William P Nixon Elementary School","Weak"
"William Rainey Harper High School","Weak"
"Williams Multiplex Elementary School","Weak"
"Williams Preparatory Academy Middle School","Weak"
"William T Sherman Elementary School","Weak"
"William W Carter Elementary School","Weak"
"Wolfgang A Mozart Elementary School","Weak"
"Woodlawn Community Elementary School","Weak"
"World Language Academy High School","Weak"
